Model,Emission,RMSE
linear_regression,7.383690771663157e-08,0.28584134822397755
kNN,1.205901247323762e-06,0.2802645150439625
random_forest,2.9190346515451813e-05,0.2788234704400607
extremely_randomized_trees,1.1937268172442522e-05,0.27646605038401734
adaboost,5.165012136453723e-06,0.2859741353636075
xgboost,9.221324978353132e-06,0.2792421315104177
